temp,casual,registered,cnt
"(0.019, 0.118]",1.7606837606837606,40.52991452991453,42.29059829059829
"(0.118, 0.216]",3.422875131164743,64.44281217208814,67.86568730325288
"(0.216, 0.314]",7.980360065466448,84.8518821603928,92.83224222585925
"(0.314, 0.412]",18.585993820803296,129.8475798146241,148.4335736354274
"(0.412, 0.51]",31.255240443896422,144.6300863131936,175.88532675709
"(0.51, 0.608]",40.364381520119224,171.33569299552906,211.70007451564828
"(0.608, 0.706]",47.24634920634921,178.0873015873016,225.3336507936508
"(0.706, 0.804]",76.32135627530364,240.74493927125505,317.0662955465587
"(0.804, 0.902]",84.5952,246.1792,330.7744
"(0.902, 1.0]",71.58333333333333,221.22619047619048,292.8095238095238
